Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"Bahamas, The",BHS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,BIH,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,16.77,16.74,16.75,17.13,16.05,17.67,16.7,18.82,13.26,11.97,9.36,10.14,10.62,8.3,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,BLR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,13.06,13.79,12.88,12.96,11.46,11.74,12.07,11.7,10.6,11.48,10.82,10.6,11.06,10.61,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belize,BLZ,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,BMU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,BOL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.18,10.4,10.37,10.32,10.35,10.13,10.13,10.2,11.79,11.73,11.55,11.02,11.34,9.03,9.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,17.66,17.24,16.74,16.27,16.75,16.59,16.82,16.14,16.65,17.19,16.63,16.46,17.08,16.63,15.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,BRB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,BRN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,1.14,5.31,5.33,5.33,5.33,5.33,5.34,4.86,4.79,6.04,9.7,7.17,6.18,9.29,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,BTN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,BWA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,18.33,17.71,18.76,27.35,28.34,29.94,29.5,41.43,46.92,61.35,62.59,0.0,0.0,36.84,11.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,CAF,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,CAN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,7.81,7.52,8.21,6.5,6.29,8.31,8.53,7.47,8.35,8.71,8.56,8.8,8.44,8.47,8.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Europe and the Baltics,CEB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,10.65,10.28,10.01,9.54,9.18,9.12,8.75,8.88,8.31,8.48,8.15,7.55,7.82,7.51,7.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.18,5.91,6.35,6.41,6.65,7.32,6.75,6.35,6.38,6.28,6.62,7.13,6.72,6.81,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Channel Islands,CHI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,CHL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,7.29,7.36,6.18,6.09,7.88,8.65,8.86,8.43,8.51,10.55,8.22,7.13,5.02,6.69,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0
China,CHN,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.91,6.98,7.06,6.6,6.45,6.82,6.49,6.28,6.17,6.08,6.12,5.74,5.81,5.78,5.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cote d'Ivoire,CIV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,14.56,13.47,12.94,13.58,17.88,19.93,20.9,22.59,23.53,23.25,20.18,22.38,19.47,21.96,14.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,CMR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,21.87,25.7,23.15,23.78,19.22,17.43,12.32,9.35,9.47,9.34,9.83,9.86,12.25,11.02,11.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",COD,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,2.67,2.43,5.1,2.93,14.03,10.97,6.31,5.13,11.18,5.13,4.97,7.1,5.65,5.66,21.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Rep.",COG,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,87.5,88.02,0.0,0.0,0.0,0.0,86.75,0.0,76.79,70.32,59.44,51.89,44.53,44.53,44.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,COL,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,22.39,19.37,19.4,19.49,19.52,19.51,19.45,20.19,19.3,14.71,15.38,12.18,12.38,10.32,10.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,COM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,CPV,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,CRI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.84,7.41,9.5,7.11,10.72,10.84,9.95,10.03,10.27,10.59,10.12,10.78,10.64,10.58,10.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caribbean small states,CSS,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,8.06,8.15,8.38,7.05,8.14,8.63,8.35,6.94,10.12,10.22,9.04,9.15,9.61,9.74,9.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cuba,CUB,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,15.77,15.5,15.45,15.24,15.42,15.21,16.08,16.85,15.88,15.5,15.91,15.69,15.75,15.38,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curacao,CUW,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cayman Islands,CYM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyprus,CYP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,5.58,6.56,4.41,3.92,5.07,3.75,4.75,4.41,3.01,3.62,4.13,3.25,2.9,4.34,3.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,CZE,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,6.8,6.61,6.39,6.14,6.07,6.14,5.84,5.6,5.6,5.5,5.23,5.08,4.83,4.76,4.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,DEU,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,5.96,5.7,4.72,4.47,4.62,4.76,4.49,4.63,4.75,4.24,3.83,4.08,3.94,3.87,3.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Djibouti,DJI,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominica,DMA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denmark,DNK,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,5.84,6.29,5.32,4.44,4.48,4.21,3.44,4.95,5.94,6.5,6.75,6.25,7.0,5.56,6.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominican Republic,DOM,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,12.28,11.2,10.98,10.83,10.79,10.84,11.05,11.04,11.4,11.97,12.01,11.69,11.65,11.35,12.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Algeria,DZA,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,16.15,16.29,15.72,14.23,15.92,13.19,17.87,17.87,18.11,20.41,19.88,19.32,19.28,18.41,17.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0
East Asia & Pacific (excluding high income),EAP,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,7.75,7.88,7.99,7.55,7.2,7.43,7.07,6.79,6.62,6.44,6.47,6.19,6.15,6.07,5.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Early-demographic dividend,EAR,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,17.35,17.6,17.25,16.84,16.96,16.82,16.22,16.04,15.72,15.91,14.88,14.56,14.79,14.72,15.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
