Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Bosnia and Herzegovina,BIH,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.46,0.86,1.26,1.22,1.04,1.12,1.19,1.32,0.0,0.21,0.28,0.25,0.2,0.24,0.27,0.31,0.0,0.0,0.0,0.0,0.0,0.0
Belarus,BLR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,6.57,5.81,5.12,4.08,4.85,3.04,4.89,0.78,2.87,17.88,2.38,1.22,2.56,0.57,1.09,1.06,0.0,0.0,0.0,0.0,0.0,0.0
Belize,BLZ,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bermuda,BMU,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivia,BOL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.77,1.18,1.22,1.32,1.26,1.31,1.66,1.76,1.68,1.7,1.93,1.59,2.02,1.84,2.0,2.25,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,BRA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,4.35,4.82,3.89,2.95,3.13,2.9,2.95,3.0,3.79,3.14,3.11,2.78,3.55,4.65,6.0,5.04,0.0,0.0,0.0,0.0,0.0,0.0
Barbados,BRB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brunei Darussalam,BRN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.9,0.93,0.93,0.78,0.89,0.89,0.94,0.97,0.96,1.02,1.0,0.99,0.94,0.91,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bhutan,BTN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Botswana,BWA,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,2.37,2.13,2.53,2.78,5.24,0.57,0.61,0.72,0.0,0.0,0.0,8.58,28.57,17.55,4.28,3.61,0.0,0.0,0.0,0.0,0.0,0.0
Central African Republic,CAF,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Canada,CAN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1.83,2.86,2.31,3.66,3.87,2.52,1.85,1.99,1.62,1.73,1.3,1.04,1.09,1.17,1.24,1.21,0.0,0.0,0.0,0.0,0.0,0.0
Central Europe and the Baltics,CEB,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.18,3.81,2.93,2.92,2.13,1.91,1.82,1.78,1.57,1.84,1.39,1.11,1.01,0.8,0.68,0.85,0.0,0.0,0.0,0.0,0.0,0.0
Switzerland,CHE,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.34,0.35,0.35,0.37,0.32,0.37,0.32,0.26,0.19,0.15,0.1,0.08,0.07,0.07,0.06,0.07,0.0,0.0,0.0,0.0,0.0,0.0
Channel Islands,CHI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chile,CHL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,4.25,3.0,3.39,4.03,5.54,6.46,4.91,25.27,26.95,20.01,14.02,9.67,8.81,7.46,6.58,4.19,0.0,0.0,0.0,0.0,0.0,0.0
China,CHN,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,3.49,3.28,3.07,2.87,2.97,2.02,1.32,0.86,0.54,0.33,0.35,0.26,0.22,0.18,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.0
Cote d'Ivoire,CIV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.27,0.27,0.25,0.12,0.15,0.12,0.28,0.32,0.16,0.2,1.42,0.54,6.1,2.67,6.13,5.22,0.0,0.0,0.0,0.0,0.0,0.0
Cameroon,CMR,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,1.09,1.89,3.58,4.23,4.62,5.79,11.18,15.98,15.35,22.19,19.72,18.51,18.46,18.48,18.48,17.89,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",COD,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.05,0.08,0.13,0.11,0.11,0.09,0.08,0.09,0.23,0.08,0.08,0.1,0.12,0.11,0.05,0.13,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Rep.",COG,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.27,1.53,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colombia,COL,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.23,0.23,0.21,0.25,0.23,0.23,0.22,0.27,0.27,0.56,0.84,0.24,0.55,0.45,0.51,0.57,0.0,0.0,0.0,0.0,0.0,0.0
Comoros,COM,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cabo Verde,CPV,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Costa Rica,CRI,Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,0.85,1.48,1.62,2.11,0.8,3.28,6.13,7.98,7.15,4.84,6.69,8.78,8.16,11.69,10.21,1.0,0.0,0.0,0.0,0.0,0.0,0.0
